Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C15, C20, C22, C26, C27, C32, C5, C6, C7",0402,12,100nF,
"C13, C9",0402,2,6.8pF,
"C14, C8",0402,2,20pF,
C16,0402,1,1uF,
"C17, C18",0402,2,2.2uF,
C19,0805,1,10uF,
"C2, C4",0402,2,4.7uF,
"C21, C30",0402,2,10uF,
"C23, C25, C31, C33",0402,4,0.1uF,
C24,0402,1,3.3nF,
C28,0402,1,10nF,
C29,0402,1,22uf,
"D1, D2, D3",0805,3,LED,
J1,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
"J2, J3",U.FL_Hirose_U.FL-R-SMT-1_Vertical,2,Conn_Coaxial,
J4,JST_ACH_BM03B-ACHSS-GAN-ETF_1x03-1MP_P1.20mm_Vertical,1,Conn_01x03_Pin,
L1,L0603,1,FCM1608KF-601T03,C141723
L2,0201,1,2.2 uH,
"R1, R2",0201,2,10k,
R3,0402,1,75k,
R4,0402,1,80k,
R5,0402,1,30k,
R6,0402,1,10k,
"R7, R8",0402,2,100k,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
TP1,TestPoint_Pad_4.0x4.0mm,1,SP-_4,
TP10,TestPoint_Pad_4.0x4.0mm,1,3.3v test pad,
TP11,TestPoint_Pad_4.0x4.0mm,1,GND test pad,
TP2,TestPoint_Pad_4.0x4.0mm,1,SP-_2,
TP3,TestPoint_Pad_4.0x4.0mm,1,SP-_3,
TP4,TestPoint_Pad_4.0x4.0mm,1,SP-_1,
TP5,TestPoint_Pad_4.0x4.0mm,1,SP+_4,
TP6,TestPoint_Pad_4.0x4.0mm,1,SP+_1,
TP7,TestPoint_Pad_4.0x4.0mm,1,SP+_3,
TP8,TestPoint_Pad_4.0x4.0mm,1,SP+_2,
TP9,TestPoint_Pad_4.0x4.0mm,1,Battery test pad,
U1,SMD-18_L10.1-W9.7-P1.10-TL_SKG09F,1,MAX-M10S-00B,C4153167
U2,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F405RGT6,C15742
U3,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U4,LGA-16_L3.0-W3.0-P0.50-BL_SQ,1,MMC5983MA,C404329
U5,VQFN-HR-12_L2.5-W2.0-P0.50-BL,1,TPS2121RUXR,C485916
U6,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,TPS62130RGTR,C43590
U7,WIRELM-SMD_E22-900M22S,1,E22-900M22S,C411293
U8,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U9,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,ADS112U04IPWR,C701616
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
