Designator,Mid X,Mid Y,Rotation,Layer
C10,166.5,-71.0,0.0,top
C11,165.5,-64.0,0.0,top
C12,155.0,-75.5,0.0,top
C13,158.0,-77.5,0.0,top
C14,167.5,-74.52,270.0,top
C15,160.5,-79.0,270.0,top
C16,142.0,-71.98,270.0,top
C17,166.0,-65.0,0.0,top
C18,155.0,-60.5,90.0,top
C19,140.0,-68.45,90.0,top
C2,160.5,-81.0,180.0,top
C20,141.75,-60.26,90.0,top
C21,119.0,-74.52,90.0,top
C22,170.0,-51.5,0.0,top
C23,121.0,-74.52,90.0,top
C24,122.5,-76.0,270.0,top
C25,127.5,-91.02,90.0,top
C26,130.33,-78.82,270.0,top
C27,140.69,-79.76,270.0,top
C28,146.715,-91.785,90.0,top
C29,122.0,-81.02,90.0,top
C30,148.0,-91.785,90.0,top
C31,113.5,-64.48,90.0,top
C32,139.19,-77.98,90.0,top
C33,114.0,-61.02,90.0,top
C4,151.5,-61.0,90.0,top
C5,143.25,-63.26,0.0,top
C6,154.0,-61.0,90.0,top
C7,150.5,-72.0,180.0,top
C8,168.0,-83.68,270.0,top
C9,149.5,-77.5,0.0,top
D1,103.9645,-99.576,0.0,top
D2,103.9645,-102.616,0.0,top
D3,103.9645,-105.656,0.0,top
J1,190.0,-59.0,0.0,top
J2,178.942,-104.682,270.0,top
J3,125.525,-104.025,270.0,top
J4,129.8,-52.125,180.0,top
L1,160.5,-76.5,90.0,top
L2,120.0,-80.82,270.0,top
R1,128.83,-73.64,90.0,top
R2,164.36,-51.5,180.0,top
R3,127.83,-75.64,270.0,top
R4,129.33,-78.83,270.0,top
R5,113.72,-69.5,90.0,top
R6,117.0,-68.5,90.0,top
R7,121.0,-80.99,90.0,top
R8,128.905,-91.059,270.0,top
SW1,162.68,-53.5,0.0,top
SW2,169.82,-53.5,0.0,top
U1,174.0,-97.5,0.0,top
U2,158.3,-68.26,270.0,top
U3,140.75,-62.76,90.0,top
U4,142.5,-69.0,90.0,top
U5,129.83,-76.15,90.0,top
U6,119.9,-77.83,180.0,top
U7,137.5,-95.5,0.0,top
U8,140.97,-77.76,90.0,top
U9,118.5,-63.5,0.0,top
X1,167.65,-79.1,90.0,top
X2,153.5,-79.5,0.0,top
